Código,Placa,Tipo de vehículo,Cliente,Fecha inicio,Fecha fin,N° entregas,Facturación,Validado,Observación
VJ-00049,FBH201,Sencillo,Benítez-Londoño,2026-07-18,2026-07-20,10,1250283.52,No,Entrega sin novedad.
VJ-00038,ZSD781,Turbo,Guerrero-Mena,2026-07-18,2026-07-20,23,5038832.58,No,"Vehículo presentó novedad mecánica leve, resuelta en sitio."
VJ-00068,WDE137,Turbo,Benítez-Londoño,2026-07-16,2026-07-20,32,6395123.48,No,
VJ-00031,FBS489,Sencillo,Torres-Morales,2026-07-12,2026-07-13,40,3907094.82,No,"Ruta optimizada, entregas completadas antes de lo previsto."
VJ-00017,QBJ099,Eléctrico,Arias-Arango,2026-07-12,,4,418644.97,No,Pendiente confirmación de recibido por parte del cliente.
VJ-00037,NXL877,Turbo,González-Muñoz,2026-07-10,2026-07-13,26,5131048.71,Sí,Cliente solicitó reprogramación de una entrega.
VJ-00022,DDA806,Turbo,Benítez-Londoño,2026-07-08,2026-07-13,30,6201820.05,No,
VJ-00048,VDL173,Eléctrico,Montoya Inc,2026-07-06,,8,714628.61,No,
VJ-00019,UKB314,Eléctrico,Rodríguez-Garzón,2026-07-03,2026-07-08,38,3282917.29,Sí,"Ruta optimizada, entregas completadas antes de lo previsto."
VJ-00013,FAU877,Sencillo,Arias-Arango,2026-06-30,2026-07-02,32,4077301.03,No,Cliente solicitó reprogramación de una entrega.
VJ-00005,PGE025,Sencillo,Torres-Morales,2026-06-27,2026-06-30,16,1574881.31,No,
VJ-00039,QAX418,Eléctrico,Guerrero-Mena,2026-06-26,2026-07-01,21,2006882.16,Sí,"Vehículo presentó novedad mecánica leve, resuelta en sitio."
VJ-00046,YPQ875,Sencillo,González-Muñoz,2026-06-25,,10,953137.73,Sí,Retraso menor por tráfico en la vía principal.
VJ-00033,GFB628,Eléctrico,García and Sons,2026-06-24,,36,4010137.17,No,"Ruta optimizada, entregas completadas antes de lo previsto."
VJ-00006,YFM411,Turbo,Guerrero-Mena,2026-06-21,2026-06-27,20,3640447.52,Sí,
VJ-00036,PRR130,Turbo,González-Muñoz,2026-06-14,,33,7657253.84,No,Entrega sin novedad.
VJ-00043,FDB838,Eléctrico,Uribe and Sons,2026-06-07,2026-06-07,5,431277.44,Sí,Cliente solicitó reprogramación de una entrega.
VJ-00025,XYA376,Sencillo,Ortega-Torres,2026-06-07,2026-06-12,17,2162265.58,No,"Vehículo presentó novedad mecánica leve, resuelta en sitio."
VJ-00051,ZPE595,Eléctrico,Palacio PLC,2026-06-04,2026-06-04,18,1935754.39,Sí,Pendiente confirmación de recibido por parte del cliente.
VJ-00035,KSK754,Sencillo,Muñoz and Sons,2026-06-03,2026-06-07,6,601686.44,Sí,Entrega sin novedad.
VJ-00065,RGV062,Sencillo,"Ríos, Sánchez and Forero",2026-05-31,2026-05-31,38,4036241.08,Sí,"Ruta optimizada, entregas completadas antes de lo previsto."
VJ-00057,ZCF934,Turbo,Uribe and Sons,2026-05-29,,14,3697383.7,Sí,
VJ-00055,VEX253,Turbo,"Ríos, Sánchez and Forero",2026-05-26,,8,1653003.34,Sí,"Ruta optimizada, entregas completadas antes de lo previsto."
VJ-00011,VXN455,Turbo,"Hernández, López and Hernández",2026-05-26,2026-05-28,32,7174134.66,No,
